marking, episode: 1800, score: 500.0, mean_score: 530.50, std_score: 233.33
episode: 1800, score: 500.0, epsilon: 0.01
episode: 1805, score: 500.0, epsilon: 0.01
episode: 1810, score: 450.0, epsilon: 0.01
episode: 1815, score: 750.0, epsilon: 0.01
episode: 1820, score: 250.0, epsilon: 0.01
episode: 1825, score: 700.0, epsilon: 0.01
episode: 1830, score: 600.0, epsilon: 0.01
episode: 1835, score: 250.0, epsilon: 0.01
episode: 1840, score: 500.0, epsilon: 0.01
episode: 1845, score: 250.0, epsilon: 0.01
episode: 1850, score: 500.0, epsilon: 0.01
episode: 1855, score: 250.0, epsilon: 0.01
episode: 1860, score: 600.0, epsilon: 0.01
episode: 1865, score: 500.0, epsilon: 0.01
episode: 1870, score: 600.0, epsilon: 0.01
episode: 1875, score: 750.0, epsilon: 0.01
episode: 1880, score: 500.0, epsilon: 0.01
episode: 1885, score: 700.0, epsilon: 0.01
episode: 1890, score: 500.0, epsilon: 0.01
episode: 1895, score: 250.0, epsilon: 0.01
marking, episode: 1900, score: 750.0, mean_score: 513.50, std_score: 287.04
episode: 1900, score: 750.0, epsilon: 0.01
episode: 1905, score: 2100.0, epsilon: 0.01
episode: 1910, score: 600.0, epsilon: 0.01
episode: 1915, score: 500.0, epsilon: 0.01
episode: 1920, score: 500.0, epsilon: 0.01
episode: 1925, score: 600.0, epsilon: 0.01
episode: 1930, score: 250.0, epsilon: 0.01
episode: 1935, score: 750.0, epsilon: 0.01
episode: 1940, score: 500.0, epsilon: 0.01
episode: 1945, score: 750.0, epsilon: 0.01
episode: 1950, score: 700.0, epsilon: 0.01
episode: 1955, score: 750.0, epsilon: 0.01
episode: 1960, score: 500.0, epsilon: 0.01
episode: 1965, score: 250.0, epsilon: 0.01
episode: 1970, score: 500.0, epsilon: 0.01
episode: 1975, score: 500.0, epsilon: 0.01
episode: 1980, score: 850.0, epsilon: 0.01
episode: 1985, score: 350.0, epsilon: 0.01
episode: 1990, score: 500.0, epsilon: 0.01
episode: 1995, score: 750.0, epsilon: 0.01
marking, episode: 2000, score: 250.0, mean_score: 547.00, std_score: 259.98
episode: 2000, score: 250.0, epsilon: 0.01
episode: 2005, score: 500.0, epsilon: 0.01
episode: 2010, score: 200.0, epsilon: 0.01
episode: 2015, score: 500.0, epsilon: 0.01
episode: 2020, score: 700.0, epsilon: 0.01
episode: 2025, score: 850.0, epsilon: 0.01
episode: 2030, score: 500.0, epsilon: 0.01
episode: 2035, score: 500.0, epsilon: 0.01
