episode: 11215, score: 2100.0, epsilon: 0.01
episode: 11220, score: 2000.0, epsilon: 0.01
episode: 11225, score: 2000.0, epsilon: 0.01
episode: 11230, score: 2000.0, epsilon: 0.01
episode: 11235, score: 2100.0, epsilon: 0.01
episode: 11240, score: 2200.0, epsilon: 0.01
episode: 11245, score: 2000.0, epsilon: 0.01
episode: 11250, score: 1000.0, epsilon: 0.01
episode: 11255, score: 2000.0, epsilon: 0.01
episode: 11260, score: 2000.0, epsilon: 0.01
episode: 11265, score: 250.0, epsilon: 0.01
episode: 11270, score: 2000.0, epsilon: 0.01
episode: 11275, score: 2000.0, epsilon: 0.01
episode: 11280, score: 2100.0, epsilon: 0.01
episode: 11285, score: 2000.0, epsilon: 0.01
episode: 11290, score: 2000.0, epsilon: 0.01
episode: 11295, score: 2250.0, epsilon: 0.01
marking, episode: 11300, score: 2000.0, mean_score: 1706.00, std_score: 589.80
episode: 11300, score: 2000.0, epsilon: 0.01
episode: 11305, score: 750.0, epsilon: 0.01
episode: 11310, score: 2000.0, epsilon: 0.01
episode: 11315, score: 2000.0, epsilon: 0.01
episode: 11320, score: 750.0, epsilon: 0.01
episode: 11325, score: 850.0, epsilon: 0.01
episode: 11330, score: 2100.0, epsilon: 0.01
episode: 11335, score: 1000.0, epsilon: 0.01
episode: 11340, score: 1000.0, epsilon: 0.01
episode: 11345, score: 2100.0, epsilon: 0.01
episode: 11350, score: 2200.0, epsilon: 0.01
episode: 11355, score: 2000.0, epsilon: 0.01
episode: 11360, score: 2250.0, epsilon: 0.01
episode: 11365, score: 500.0, epsilon: 0.01
episode: 11370, score: 750.0, epsilon: 0.01
episode: 11375, score: 2000.0, epsilon: 0.01
episode: 11380, score: 500.0, epsilon: 0.01
episode: 11385, score: 750.0, epsilon: 0.01
episode: 11390, score: 2000.0, epsilon: 0.01
episode: 11395, score: 750.0, epsilon: 0.01
marking, episode: 11400, score: 2450.0, mean_score: 1559.00, std_score: 626.31
episode: 11400, score: 2450.0, epsilon: 0.01
episode: 11405, score: 2000.0, epsilon: 0.01
episode: 11410, score: 500.0, epsilon: 0.01
episode: 11415, score: 2000.0, epsilon: 0.01
episode: 11420, score: 2000.0, epsilon: 0.01
episode: 11425, score: 0.0, epsilon: 0.01
episode: 11430, score: 2000.0, epsilon: 0.01
episode: 11435, score: 2000.0, epsilon: 0.01
episode: 11440, score: 750.0, epsilon: 0.01
episode: 11445, score: 1000.0, epsilon: 0.01
episode: 11450, score: 2700.0, epsilon: 0.01
episode: 11455, score: 2000.0, epsilon: 0.01
episode: 11460, score: 2100.0, epsilon: 0.01
episode: 11465, score: 1000.0, epsilon: 0.01
episode: 11470, score: 2000.0, epsilon: 0.01
episode: 11475, score: 2000.0, epsilon: 0.01
episode: 11480, score: 2100.0, epsilon: 0.01
episode: 11485, score: 2000.0, epsilon: 0.01
episode: 11490, score: 2000.0, epsilon: 0.01
episode: 11495, score: 1000.0, epsilon: 0.01
marking, episode: 11500, score: 2000.0, mean_score: 1655.50, std_score: 699.14
episode: 11500, score: 2000.0, epsilon: 0.01
episode: 11505, score: 1000.0, epsilon: 0.01
episode: 11510, score: 2250.0, epsilon: 0.01
episode: 11515, score: 2100.0, epsilon: 0.01
episode: 11520, score: 2100.0, epsilon: 0.01
episode: 11525, score: 750.0, epsilon: 0.01
episode: 11530, score: 750.0, epsilon: 0.01
episode: 11535, score: 2250.0, epsilon: 0.01
episode: 11540, score: 2500.0, epsilon: 0.01
episode: 11545, score: 2000.0, epsilon: 0.01
episode: 11550, score: 2000.0, epsilon: 0.01
episode: 11555, score: 2000.0, epsilon: 0.01
episode: 11560, score: 0.0, epsilon: 0.01
episode: 11565, score: 2000.0, epsilon: 0.01
episode: 11570, score: 2000.0, epsilon: 0.01
episode: 11575, score: 2000.0, epsilon: 0.01
episode: 11580, score: 2000.0, epsilon: 0.01
episode: 11585, score: 2000.0, epsilon: 0.01
episode: 11590, score: 2000.0, epsilon: 0.01
episode: 11595, score: 2000.0, epsilon: 0.01
marking, episode: 11600, score: 2000.0, mean_score: 1644.50, std_score: 650.30
episode: 11600, score: 2000.0, epsilon: 0.01
episode: 11605, score: 250.0, epsilon: 0.01
episode: 11610, score: 2000.0, epsilon: 0.01
episode: 11615, score: 750.0, epsilon: 0.01
episode: 11620, score: 2000.0, epsilon: 0.01
episode: 11625, score: 2000.0, epsilon: 0.01
